identif_mask,modelo,score,restritivo,positivo,msg,anomesdia
221,YWZ,591000,591,0,,20210331
222,YWZ,3003,3,3,,20210331
223,YWZ,742000,742,0,,20210331
224,YWZ,742000,742,0,,20210331
225,YWZ,766666,766,666,,20210331
226,YWZ,790822,790,822,,20210331
227,YWZ,3003,3,3,,20210331
228,YWZ,517428,517,428,,20210331
229,YWZ,799000,799,0,,20210331
230,YWZ,742000,742,0,,20210331
231,YWZ,642000,642,0,,20210331
232,YWZ,619000,619,0,,20210331
233,YWZ,711000,711,0,,20210331
234,YWZ,742000,742,0,,20210331
235,YWZ,550924,550,924,,20210331
236,YWZ,802862,802,862,,20210331
237,YWZ,655791,655,791,,20210331
238,YWZ,3003,3,3,,20210331
239,YWZ,705924,705,924,,20210331
240,YWZ,742594,742,594,,20210331
241,YWZ,3003,3,3,,20210331
242,YWZ,2002,2,2,,20210331
243,YWZ,800828,800,828,,20210331
244,YWZ,3003,3,3,,20210331
245,YWZ,2002,2,2,,20210331
246,YWZ,3003,3,3,,20210331
247,YWZ,3003,3,3,,20210331
248,YWZ,772862,772,862,,20210331
249,YWZ,722769,722,769,,20210331
250,YWZ,817528,817,528,,20210331
251,YWZ,3003,3,3,,20210331
252,YWZ,612418,612,418,,20210331
253,YWZ,633000,633,0,,20210331
254,YWZ,3003,3,3,,20210331
255,YWZ,603769,603,769,,20210331
256,YWZ,3003,3,3,,20210331
257,YWZ,918000,918,0,,20210331
258,YWZ,684713,684,713,,20210331
259,YWZ,2002,2,2,,20210331
260,YWZ,549862,549,862,,20210331
261,YWZ,705851,705,851,,20210331
262,YWZ,742000,742,0,,20210331
263,YWZ,834000,834,0,,20210331
264,YWZ,3003,3,3,,20210331
265,YWZ,3003,3,3,,20210331
266,YWZ,742000,742,0,,20210331
267,YWZ,2002,2,2,,20210331
268,YWZ,859000,859,0,,20210331
269,YWZ,589000,589,0,,20210331
270,YWZ,3003,3,3,,20210331
271,YWZ,742000,742,0,,20210331
272,YWZ,683707,683,707,,20210331
273,YWZ,742862,742,862,,20210331
274,YWZ,3003,3,3,,20210331
275,YWZ,479791,479,791,,20210331
276,YWZ,724000,724,0,,20210331
277,YWZ,766000,766,0,,20210331
278,YWZ,742000,742,0,,20210331
279,YWZ,722862,722,862,,20210331
280,YWZ,742000,742,0,,20210331
281,YWZ,747000,747,0,,20210331
282,YWZ,742554,742,554,,20210331
283,YWZ,742594,742,594,,20210331
284,YWZ,800862,800,862,,20210331
285,YWZ,703650,703,650,,20210331
286,YWZ,766000,766,0,,20210331
287,YWZ,620000,620,0,,20210331
288,YWZ,742000,742,0,,20210331
289,YWZ,742000,742,0,,20210331
290,YWZ,676000,676,0,,20210331
291,YWZ,846924,846,924,,20210331
292,YWZ,795713,795,713,,20210331
293,YWZ,642000,642,0,,20210331
294,YWZ,3003,3,3,,20210331
295,YWZ,3003,3,3,,20210331
296,YWZ,2002,2,2,,20210331
297,YWZ,3003,3,3,,20210331
298,YWZ,783862,783,862,,20210331
299,YWZ,3003,3,3,,20210331
300,YWZ,3003,3,3,,20210331
301,YWZ,2002,2,2,,20210331
302,YWZ,2002,2,2,,20210331
303,YWZ,2002,2,2,,20210331
304,YWZ,605862,605,862,,20210331
305,YWZ,3003,3,3,,20210331
306,YWZ,547665,547,665,,20210331
307,YWZ,3003,3,3,,20210331
308,YWZ,809862,809,862,,20210331
309,YWZ,787670,787,670,,20210331
310,YWZ,2002,2,2,,20210331
311,YWZ,2002,2,2,,20210331
312,YWZ,3003,3,3,,20210331
313,YWZ,723656,723,656,,20210331
314,YWZ,3003,3,3,,20210331
315,YWZ,586651,586,651,,20210331
316,YWZ,859862,859,862,,20210331
317,YWZ,810000,810,0,,20210331
318,YWZ,792000,792,0,,20210331
319,YWZ,2002,2,2,,20210331
320,YWZ,723791,723,791,,20210331
321,YWZ,3003,3,3,,20210331
322,YWZ,3003,3,3,,20210331
323,YWZ,573554,573,554,,20210331
324,YWZ,654000,654,0,,20210331
325,YWZ,816707,816,707,,20210331
326,YWZ,2002,2,2,,20210331
327,YWZ,724692,724,692,,20210331
328,YWZ,2002,2,2,,20210331
329,YWZ,3003,3,3,,20210331
330,YWZ,3003,3,3,,20210331
331,YWZ,742000,742,0,,20210331
332,YWZ,798604,798,604,,20210331
333,YWZ,3003,3,3,,20210331
334,YWZ,839769,839,769,,20210331
335,YWZ,3003,3,3,,20210331
336,YWZ,639000,639,0,,20210331
337,YWZ,2002,2,2,,20210331
338,YWZ,2002,2,2,,20210331
339,YWZ,3003,3,3,,20210331
340,YWZ,3003,3,3,,20210331
341,YWZ,3003,3,3,,20210331
342,YWZ,1001,1,1,,20210331
343,YWZ,742000,742,0,,20210331
344,YWZ,843000,843,0,,20210331
345,YWZ,3003,3,3,,20210331
346,YWZ,684000,684,0,,20210331
347,YWZ,3003,3,3,,20210331
348,YWZ,839000,839,0,,20210331
349,YWZ,822862,822,862,,20210331
350,YWZ,3003,3,3,,20210331
351,YWZ,770000,770,0,,20210331
352,YWZ,769713,769,713,,20210331
353,YWZ,896728,896,728,,20210331
354,YWZ,3003,3,3,,20210331
355,YWZ,708862,708,862,,20210331
356,YWZ,2002,2,2,,20210331
357,YWZ,742000,742,0,,20210331
358,YWZ,1001,1,1,,20210331
359,YWZ,774000,774,0,,20210331
360,YWZ,746791,746,791,,20210331
361,YWZ,534583,534,583,,20210331
362,YWZ,719453,719,453,,20210331
363,YWZ,3003,3,3,,20210331
364,YWZ,673862,673,862,,20210331
365,YWZ,447565,447,565,,20210331
366,YWZ,2002,2,2,,20210331
367,YWZ,534000,534,0,,20210331
368,YWZ,841814,841,814,,20210331
369,YWZ,742000,742,0,,20210331
370,YWZ,3003,3,3,,20210331
371,YWZ,800862,800,862,,20210331
372,YWZ,3003,3,3,,20210331
373,YWZ,3003,3,3,,20210331
374,YWZ,3003,3,3,,20210331
375,YWZ,742000,742,0,,20210331
376,YWZ,822000,822,0,,20210331
377,YWZ,742000,742,0,,20210331
378,YWZ,879567,879,567,,20210331
379,YWZ,3003,3,3,,20210331
380,YWZ,3003,3,3,,20210331
381,YWZ,3003,3,3,,20210331
382,YWZ,3003,3,3,,20210331
383,YWZ,,,,,20210331
384,YWZ,3003,3,3,,20210331
385,YWZ,3003,3,3,,20210331
386,YWZ,3003,3,3,,20210331
387,YWZ,722608,722,608,,20210331
388,YWZ,3003,3,3,,20210331
389,YWZ,3003,3,3,,20210331
390,YWZ,3003,3,3,,20210331
391,YWZ,742000,742,0,,20210331
392,YWZ,1001,1,1,,20210331
393,YWZ,3003,3,3,,20210331
394,YWZ,914565,914,565,,20210331
395,YWZ,692000,692,0,,20210331
396,YWZ,3003,3,3,,20210331
397,YWZ,3003,3,3,,20210331
398,YWZ,879862,879,862,,20210331
399,YWZ,618779,618,779,,20210331
400,YWZ,812862,812,862,,20210331
401,YWZ,3003,3,3,,20210331
402,YWZ,696791,696,791,,20210331
403,YWZ,806608,806,608,,20210331
404,YWZ,3003,3,3,,20210331
405,YWZ,3003,3,3,,20210331
406,YWZ,618000,618,0,,20210331
407,YWZ,3003,3,3,,20210331
408,YWZ,742000,742,0,,20210331
409,YWZ,799862,799,862,,20210331
410,YWZ,742000,742,0,,20210331
411,YWZ,742000,742,0,,20210331
412,YWZ,3003,3,3,,20210331
413,YWZ,3003,3,3,,20210331
414,YWZ,432862,432,862,,20210331
415,YWZ,2002,2,2,,20210331
416,YWZ,2002,2,2,,20210331
417,YWZ,652712,652,712,,20210331
418,YWZ,3003,3,3,,20210331
419,YWZ,3003,3,3,,20210331
420,YWZ,665793,665,793,,20210331
421,YWZ,3003,3,3,,20210331
422,YWZ,770000,770,0,,20210331
423,YWZ,755791,755,791,,20210331
424,YWZ,704822,704,822,,20210331
425,YWZ,742000,742,0,,20210331
426,YWZ,2002,2,2,,20210331
427,YWZ,3003,3,3,,20210331
428,YWZ,3003,3,3,,20210331
429,YWZ,621713,621,713,,20210331
430,YWZ,742000,742,0,,20210331
431,YWZ,837000,837,0,,20210331
432,YWZ,783000,783,0,,20210331
433,YWZ,2002,2,2,,20210331
434,YWZ,3003,3,3,,20210331
435,YWZ,606522,606,522,,20210331
436,YWZ,3003,3,3,,20210331
437,YWZ,581550,581,550,,20210331
438,YWZ,1001,1,1,,20210331
439,YWZ,729554,729,554,,20210331
440,YWZ,3003,3,3,,20210331
441,YWZ,2002,2,2,,20210331
442,YWZ,3003,3,3,,20210331
443,YWZ,742000,742,0,,20210331
444,YWZ,3003,3,3,,20210331
445,YWZ,735000,735,0,,20210331
446,YWZ,706608,706,608,,20210331
447,YWZ,417000,417,0,,20210331
448,YWZ,2002,2,2,,20210331
449,YWZ,3003,3,3,,20210331
450,YWZ,782000,782,0,,20210331
451,YWZ,749924,749,924,,20210331
452,YWZ,495575,495,575,,20210331
453,YWZ,652694,652,694,,20210331
454,YWZ,632862,632,862,,20210331
455,YWZ,789000,789,0,,20210331
456,YWZ,3003,3,3,,20210331
457,YWZ,2002,2,2,,20210331
458,YWZ,3003,3,3,,20210331
459,YWZ,3003,3,3,,20210331
460,YWZ,3003,3,3,,20210331
461,YWZ,3003,3,3,,20210331
462,YWZ,2002,2,2,,20210331
463,YWZ,739560,739,560,,20210331
464,YWZ,862000,862,0,,20210331
465,YWZ,3003,3,3,,20210331
466,YWZ,3003,3,3,,20210331
467,YWZ,3003,3,3,,20210331
468,YWZ,3003,3,3,,20210331
469,YWZ,3003,3,3,,20210331
470,YWZ,3003,3,3,,20210331
471,YWZ,673000,673,0,,20210331
472,YWZ,515583,515,583,,20210331
473,YWZ,784851,784,851,,20210331
474,YWZ,790862,790,862,,20210331
475,YWZ,729862,729,862,,20210331
476,YWZ,3003,3,3,,20210331
477,YWZ,717389,717,389,,20210331
478,YWZ,3003,3,3,,20210331
479,YWZ,794862,794,862,,20210331
480,YWZ,371000,371,0,,20210331
481,YWZ,2002,2,2,,20210331
482,YWZ,742000,742,0,,20210331
483,YWZ,699665,699,665,,20210331
484,YWZ,3003,3,3,,20210331
485,YWZ,684924,684,924,,20210331
486,YWZ,816851,816,851,,20210331
487,YWZ,2002,2,2,,20210331
488,YWZ,3003,3,3,,20210331
489,YWZ,742000,742,0,,20210331
490,YWZ,874822,874,822,,20210331
491,YWZ,3003,3,3,,20210331
492,YWZ,1001,1,1,,20210331
493,YWZ,3003,3,3,,20210331
494,YWZ,2002,2,2,,20210331
495,YWZ,742000,742,0,,20210331
496,YWZ,585000,585,0,,20210331
497,YWZ,752000,752,0,,20210331
498,YWZ,3003,3,3,,20210331
499,YWZ,785000,785,0,,20210331
500,YWZ,823924,823,924,,20210331
501,YWZ,749648,749,648,,20210331
502,YWZ,3003,3,3,,20210331
503,YWZ,3003,3,3,,20210331
504,YWZ,3003,3,3,,20210331
505,YWZ,715000,715,0,,20210331
506,YWZ,2002,2,2,,20210331
507,YWZ,1001,1,1,,20210331
508,YWZ,905807,905,807,,20210331
509,YWZ,742608,742,608,,20210331
510,YWZ,2002,2,2,,20210331
511,YWZ,742000,742,0,,20210331
512,YWZ,3003,3,3,,20210331
513,YWZ,742000,742,0,,20210331
514,YWZ,689642,689,642,,20210331
515,YWZ,3003,3,3,,20210331
516,YWZ,743000,743,0,,20210331
517,YWZ,799000,799,0,,20210331
518,YWZ,690683,690,683,,20210331
519,YWZ,742000,742,0,,20210331
520,YWZ,708882,708,882,,20210331
521,YWZ,3003,3,3,,20210331
522,YWZ,3003,3,3,ERRO,20210331
523,YWZ,2002,2,2,,20210331
524,YWZ,3003,3,3,,20210331
525,YWZ,678396,678,396,,20210331
526,YWZ,720000,720,0,,20210331
527,YWZ,791862,791,862,,20210331
528,YWZ,3003,3,3,,20210331
529,YWZ,3003,3,3,,20210331
530,YWZ,883924,883,924,,20210331
531,YWZ,3003,3,3,,20210331
532,YWZ,662579,662,579,,20210331
533,YWZ,742000,742,0,,20210331
534,YWZ,3003,3,3,,20210331
535,YWZ,1001,1,1,,20210331
536,YWZ,2002,2,2,,20210331
537,YWZ,2002,2,2,,20210331
538,YWZ,617000,617,0,,20210331
539,YWZ,2002,2,2,,20210331
540,YWZ,604000,604,0,,20210331
541,YWZ,742000,742,0,,20210331
542,YWZ,733862,733,862,,20210331
543,YWZ,780000,780,0,,20210331
544,YWZ,3003,3,3,,20210331
545,YWZ,2002,2,2,,20210331
546,YWZ,3003,3,3,,20210331
547,YWZ,3003,3,3,,20210331
548,YWZ,742608,742,608,,20210331
549,YWZ,785728,785,728,,20210331
550,YWZ,785735,785,735,,20210331
551,YWZ,785554,785,554,,20210331
552,YWZ,599000,599,0,,20210331
553,YWZ,749560,749,560,,20210331
554,YWZ,3003,3,3,,20210331
555,YWZ,3003,3,3,,20210331
556,YWZ,742862,742,862,,20210331
557,YWZ,3003,3,3,,20210331
558,YWZ,742000,742,0,,20210331
559,YWZ,742000,742,0,,20210331
560,YWZ,501628,501,628,,20210331
561,YWZ,3003,3,3,,20210331
562,YWZ,703862,703,862,,20210331
563,YWZ,2002,2,2,,20210331
564,YWZ,848721,848,721,,20210331
565,YWZ,838608,838,608,,20210331
566,YWZ,600608,600,608,,20210331
567,YWZ,907924,907,924,,20210331
568,YWZ,3003,3,3,,20210331
569,YWZ,625000,625,0,,20210331
570,YWZ,3003,3,3,,20210331
571,YWZ,3003,3,3,,20210331
572,YWZ,3003,3,3,,20210331
573,YWZ,772000,772,0,,20210331
574,YWZ,577000,577,0,,20210331
575,YWZ,870862,870,862,,20210331
576,YWZ,763000,763,0,,20210331
577,YWZ,728000,728,0,,20210331
578,YWZ,545613,545,613,,20210331
579,YWZ,2002,2,2,,20210331
580,YWZ,3003,3,3,,20210331
581,YWZ,673565,673,565,,20210331
582,YWZ,742000,742,0,,20210331
583,YWZ,1001,1,1,,20210331
584,YWZ,629791,629,791,,20210331
585,YWZ,751000,751,0,,20210331
586,YWZ,657000,657,0,,20210331
587,YWZ,3003,3,3,,20210331
588,YWZ,3003,3,3,,20210331
589,YWZ,3003,3,3,,20210331
590,YWZ,3003,3,3,,20210331
591,YWZ,811862,811,862,,20210331
592,YWZ,861713,861,713,,20210331
593,YWZ,3003,3,3,,20210331
594,YWZ,818762,818,762,,20210331
595,YWZ,801862,801,862,,20210331
596,YWZ,742000,742,0,,20210331
597,YWZ,3003,3,3,,20210331
598,YWZ,3003,3,3,,20210331
599,YWZ,871560,871,560,,20210331
600,YWZ,742000,742,0,,20210331
601,YWZ,849000,849,0,,20210331
602,YWZ,2002,2,2,,20210331
603,YWZ,3003,3,3,,20210331
604,YWZ,2002,2,2,,20210331
605,YWZ,623722,623,722,,20210331
606,YWZ,854862,854,862,,20210331
607,YWZ,2002,2,2,,20210331
608,YWZ,3003,3,3,,20210331
609,YWZ,3003,3,3,,20210331
610,YWZ,742000,742,0,,20210331
611,YWZ,3003,3,3,,20210331
612,YWZ,906924,906,924,,20210331
613,YWZ,3003,3,3,,20210331
614,YWZ,642765,642,765,,20210331
615,YWZ,742000,742,0,,20210331
616,YWZ,3003,3,3,,20210331
617,YWZ,580591,580,591,,20210331
618,YWZ,788862,788,862,,20210331
619,YWZ,630769,630,769,,20210331
620,YWZ,742000,742,0,,20210331
621,YWZ,3003,3,3,,20210331
622,YWZ,714000,714,0,,20210331
623,YWZ,2002,2,2,,20210331
624,YWZ,843924,843,924,,20210331
625,YWZ,3003,3,3,,20210331
626,YWZ,742000,742,0,,20210331
627,YWZ,1001,1,1,,20210331
628,YWZ,3003,3,3,,20210331
629,YWZ,824862,824,862,,20210331
630,YWZ,619000,619,0,,20210331
631,YWZ,3003,3,3,,20210331
632,YWZ,3003,3,3,,20210331
633,YWZ,3003,3,3,,20210331
634,YWZ,615000,615,0,,20210331
635,YWZ,842791,842,791,,20210331
636,YWZ,742000,742,0,,20210331
637,YWZ,572000,572,0,,20210331
638,YWZ,3003,3,3,,20210331
639,YWZ,3003,3,3,,20210331
640,YWZ,812000,812,0,,20210331
641,YWZ,783000,783,0,,20210331
642,YWZ,3003,3,3,,20210331
643,YWZ,875684,875,684,,20210331
644,YWZ,3003,3,3,,20210331
645,YWZ,672730,672,730,,20210331
646,YWZ,3003,3,3,,20210331
647,YWZ,501000,501,0,,20210331
648,YWZ,851862,851,862,,20210331
649,YWZ,3003,3,3,,20210331
650,YWZ,742000,742,0,,20210331
651,YWZ,2002,2,2,,20210331
652,YWZ,566497,566,497,,20210331
653,YWZ,3003,3,3,,20210331
654,YWZ,919862,919,862,,20210331
655,YWZ,796713,796,713,,20210331
656,YWZ,799000,799,0,,20210331
657,YWZ,639713,639,713,,20210331
658,YWZ,845000,845,0,,20210331
659,YWZ,785747,785,747,,20210331
660,YWZ,3003,3,3,,20210331
661,YWZ,742000,742,0,,20210331
662,YWZ,595862,595,862,,20210331
663,YWZ,3003,3,3,,20210331
664,YWZ,3003,3,3,,20210331
665,YWZ,770862,770,862,,20210331
666,YWZ,3003,3,3,,20210331
667,YWZ,2002,2,2,,20210331
668,YWZ,3003,3,3,,20210331
669,YWZ,742000,742,0,,20210331
670,YWZ,2002,2,2,,20210331
671,YWZ,768862,768,862,,20210331
672,YWZ,747000,747,0,,20210331
673,YWZ,736721,736,721,,20210331
674,YWZ,3003,3,3,,20210331
675,YWZ,3003,3,3,,20210331
676,YWZ,674000,674,0,,20210331
677,YWZ,764776,764,776,,20210331
678,YWZ,582000,582,0,,20210331
679,YWZ,742000,742,0,,20210333
680,YWZ,3003,3,3,,20210331
681,YWZ,742000,742,0,,20210331
682,YWZ,3003,3,3,,20210331
683,YWZ,3003,3,3,,20210331
684,YWZ,3003,3,3,,20210331
685,YWZ,662000,662,0,,20210331
686,YWZ,2002,2,2,,20210331
687,YWZ,3003,3,3,,20210331
688,YWZ,742000,742,0,,20210331
689,YWZ,3003,3,3,,20210331
690,YWZ,742000,742,0,,20210331
691,YWZ,698862,698,862,,20210331
692,YWZ,3003,3,3,,20210331
693,YWZ,735000,735,0,,20210331
694,YWZ,3003,3,3,,20210331
695,YWZ,3003,3,3,,20210331
696,YWZ,857862,857,862,,20210331
697,YWZ,778862,778,862,,20210331
698,YWZ,582429,582,429,,20210331
699,YWZ,670769,670,769,,20210331
700,YWZ,877924,877,924,,20210331
701,YWZ,742000,742,0,,20210331
702,YWZ,872924,872,924,,20210331
703,YWZ,742752,742,752,,20210331
704,YWZ,3003,3,3,,20210331
705,YWZ,2002,2,2,,20210331
706,YWZ,1001,1,1,,20210331
707,YWZ,747000,747,0,,20210331
708,YWZ,624479,624,479,,20210331
709,YWZ,731822,731,822,,20210331
710,YWZ,2002,2,2,,20210331
711,YWZ,3003,3,3,,20210331
712,YWZ,742000,742,0,,20210331
713,YWZ,769000,769,0,,20210331
714,YWZ,785862,785,862,,20210331
715,YWZ,598000,598,0,,20210331
716,YWZ,803608,803,608,,20210331
717,YWZ,774000,774,0,,20210331
718,YWZ,841558,841,558,,20210331
719,YWZ,716000,716,0,,20210331
720,YWZ,3003,3,3,,20210331
721,YWZ,2002,2,2,,20210331
722,YWZ,3003,3,3,,20210331
723,YWZ,3003,3,3,,20210331
724,YWZ,3003,3,3,,20210331
725,YWZ,678862,678,862,,20210331
726,YWZ,3003,3,3,,20210331
727,YWZ,500696,500,696,,20210331
728,YWZ,707711,707,711,,20210331
729,YWZ,3003,3,3,,20210331
730,YWZ,506000,506,0,,20210331
731,YWZ,742000,742,0,,20210331
732,YWZ,502000,502,0,,20210331
733,YWZ,832000,832,0,,20210331
734,YWZ,802713,802,713,,20210331
